"Velocity_field,_x_component","Velocity_field,_y_component","Pressure","Points:0","Points:1","Points:2"
0.087523,-0.0031819,0.0015473,9.8548,1.8387,0
0.029432,-0.00031178,0.0030013,9.6114,1.0672,0
0.014112,-8.6304e-05,0.0031998,9.5757,1.032,0
0.042446,-0.00034031,0.0060612,9.5555,1.9359,0
0.023789,-6.2813e-05,0.0069199,9.5078,1.9658,0
0.069365,-0.0015032,0.0043394,9.6579,1.8846,0
0.066117,-0.001032,0.005429,9.5904,1.8933,0
0.070818,-0.00043728,0.001525,9.8518,1.1628,0
0.048826,0.00042566,0.0020325,9.8027,1.1113,0
0.046782,-8.7939e-06,0.0023078,9.7351,1.1067,0
0.049442,-0.00060776,0.002792,9.6504,1.115,0
0.093411,-0.0038394,0.002411,9.7802,1.8283,0
0.096057,-0.002863,0.0037293,9.6967,1.8255,0
0.12144,-0.0044763,0.0014768,9.8349,1.7525,0
0.028199,-0.0003292,0.0033063,9.5348,1.0658,0
0.013424,-9.9108e-05,0.0034257,9.5049,1.0313,0
0.04946,-0.00077019,0.0031407,9.5752,1.1166,0
0.043227,-0.00015686,0.0073819,9.486,1.9353,0
0.024246,-3.4677e-05,0.0083132,9.4375,1.9654,0
0.068446,-0.00049408,0.0067523,9.5209,1.8901,0
0.095918,-0.0020892,0.0050271,9.6044,1.8297,0
0.12029,-0.0034234,0.0043398,9.6404,1.7607,0
0.097178,-0.0012391,0.0063315,9.5408,1.8287,0
0.10115,-0.0016869,0.0012773,9.8272,1.2467,0
0.074068,-0.00023527,0.0019126,9.7716,1.1738,0
0.075468,-0.0011993,0.0025993,9.6819,1.1809,0
0.069312,-0.0010974,0.0029294,9.6118,1.1666,0
0.13095,-0.0047411,0.0028983,9.7297,1.7241,0
0.14685,-0.0051426,0.0015692,9.8061,1.6376,0
0.15168,-0.0050037,0.001635,9.7896,1.5074,0
0.1343,-0.0037018,0.0013194,9.8119,1.3709,0
0.01674,0.00070282,0.00079768,9.1376,1.0351,0
0.0080955,0.00017103,1.4224e-05,9.125,1.0173,0
0.0084644,0.00013296,0.0012063,9.1614,1.0195,0
0.044952,-6.3862e-05,0.0087697,9.4149,1.9328,0
0.024514,1.1411e-05,0.0097542,9.3672,1.9651,0
0.024231,-0.00028627,0.0035114,9.4556,1.0578,0
0.0125,-9.2685e-05,0.003551,9.4342,1.03,0
0.046569,-0.00074888,0.0034258,9.4972,1.1113,0
0.071213,-0.0013966,0.0033584,9.5443,1.1732,0
0.069661,-0.00025528,0.0082125,9.4414,1.8885,0
0.092668,-0.00055833,0.0074529,9.4807,1.8398,0
0.14035,-0.0032241,0.0045554,9.6179,1.6781,0
0.12414,-0.0022822,0.005742,9.5614,1.7506,0
0.11918,-0.00086166,0.0071117,9.4868,1.7688,0
0.1122,-0.0025593,0.0023249,9.7112,1.2888,0
0.097902,-0.0017875,0.0029854,9.6072,1.2471,0
0.1528,-0.0045486,0.0031203,9.6872,1.5788,0
0.14417,-0.0042523,0.0026926,9.6942,1.4329,0
0.01643,0.00098032,-0.00034869,9.1043,1.0311,0
0.0079025,0.00027759,-0.0012338,9.093,1.0154,0
0.017345,0.0014001,-0.0018163,9.0755,1.0286,0
0.0083892,0.0003337,-0.0038638,9.065,1.0138,0
0.019203,0.0023573,-0.0037396,9.0506,1.0261,0
0.022438,-0.00019013,0.0035003,9.3856,1.0546,0
0.011482,-6.3572e-05,0.0034638,9.366,1.0283,0
0.017462,0.00049964,0.0017126,9.1761,1.0394,0
0.0090954,8.2417e-05,0.0020384,9.203,1.022,0
0.0209,-4.8157e-05,0.0033275,9.3234,1.0512,0
0.010536,-2.0726e-05,0.0031847,9.3044,1.0263,0
0.019678,0.00012752,0.0029575,9.2671,1.0478,0
0.0097797,3.0205e-05,0.0027148,9.2504,1.0243,0
0.018887,0.0003275,0.002424,9.2189,1.0446,0
0.028405,0.0025892,0.00069461,9.116,1.0533,0
0.030847,0.0021212,0.0016308,9.1522,1.0634,0
0.046657,0.00017572,0.010291,9.3409,1.9296,0
0.024502,8.4593e-05,0.011268,9.297,1.9648,0
0.071375,0.00037012,0.0096314,9.3688,1.8848,0
0.044032,-0.00055067,0.0035823,9.4224,1.1063,0
0.068599,-0.00091996,0.0035977,9.46,1.1678,0
0.097295,-0.0017222,0.0037328,9.5251,1.2466,0
0.10185,0.00020793,0.0085851,9.4128,1.8182,0
0.1512,-0.0030111,0.0046585,9.5809,1.5911,0
0.1439,-0.0013451,0.0061253,9.5078,1.6637,0
0.13154,0.00086503,0.0079443,9.4276,1.7224,0
0.13131,-0.003003,0.0034758,9.5847,1.3694,0
0.14998,-0.0031634,0.0041619,9.5857,1.4908,0
0.12432,-0.00019081,0.0041789,9.4874,1.3389,0
0.028114,0.0034333,-0.0004248,9.0843,1.0463,0
0.04422,0.0072588,0.0010443,9.0953,1.0744,0
0.029346,0.0048513,-0.0016407,9.0575,1.0407,0
0.033385,0.0078325,-0.002658,9.037,1.0381,0
0.022991,0.0043283,-0.0045641,9.0299,1.0245,0
0.04039,0.014199,-0.0019462,9.0193,1.0373,0
0.0089602,0.00063617,-0.0045533,9.0404,1.0126,0
0.046227,0.00045977,0.011834,9.2678,1.9291,0
0.024176,0.00016265,0.012817,9.2267,1.9646,0
0.041182,-9.2351e-05,0.0035142,9.3539,1.0995,0
0.031787,0.0015023,0.0023286,9.1925,1.07,0
0.036341,0.0004229,0.0032772,9.2918,1.0867,0
0.034543,0.0010275,0.0028986,9.2386,1.0798,0
0.045294,0.0057696,0.001795,9.1267,1.0847,0
0.04792,0.0046086,0.0024627,9.1644,1.0979,0
0.064096,0.01325,0.0025245,9.1036,1.1119,0
0.071871,0.00096018,0.011075,9.2962,1.8822,0
0.096067,0.0014005,0.010041,9.3426,1.8296,0
0.063699,-0.0001295,0.003773,9.3861,1.1544,0
0.10035,0.00021888,0.0040953,9.4222,1.2539,0
0.12255,0.0026956,0.0094922,9.3521,1.7516,0
0.14296,0.004654,0.0086855,9.3609,1.6561,0
0.15256,-0.00016955,0.0057899,9.4891,1.5455,0
0.14806,0.0021107,0.0071751,9.4327,1.6212,0
0.14607,0.0013061,0.0053484,9.4596,1.4515,0
0.12965,0.0021717,0.0051179,9.4208,1.3579,0
0.044343,0.0093677,0.00024399,9.0682,1.0654,0
0.062991,0.016196,0.0020762,9.0752,1.0985,0
0.047489,0.013588,-0.00023839,9.0433,1.0592,0
0.052258,0.020153,-3.2534e-06,9.024,1.0556,0
0.053951,0.026242,0.00068195,9.0101,1.0495,0
0.045406,0.023722,-0.00082604,9.0036,1.0329,0
0.030169,0.010739,-0.011548,9.0109,1.0212,0
0.039206,0.029663,-0.00063961,8.9938,1.0202,0
0.014502,0.0025653,-0.016075,9.0189,1.012,0
0.044949,0.00079405,0.013477,9.1917,1.9291,0
0.023478,0.00024713,0.01437,9.1564,1.9644,0
0.070894,0.0016373,0.012391,9.2383,1.8814,0
0.043043,0.001119,0.015029,9.1189,1.9291,0
0.02242,0.00033903,0.015909,9.0862,1.9644,0
0.060652,0.0012469,0.0036355,9.3138,1.144,0
0.051903,0.0036933,0.0029668,9.207,1.1132,0
0.058302,0.0027828,0.0034525,9.2554,1.1335,0
0.067554,0.011369,0.0030011,9.1347,1.1293,0
0.07371,0.0097946,0.0035372,9.1742,1.1531,0
0.08497,0.026065,0.0038363,9.0762,1.1437,0
0.089123,0.022885,0.0041895,9.104,1.1651,0
0.10294,0.003263,0.011293,9.2766,1.8082,0
0.092191,0.0028839,0.0042438,9.3399,1.2254,0
0.12199,0.005359,0.0051653,9.3502,1.3201,0
0.13247,0.0068574,0.010477,9.2874,1.703,0
0.14652,0.0090591,0.0092397,9.3073,1.6103,0
0.15241,0.0055544,0.0072692,9.3806,1.5452,0
0.14338,0.0067907,0.0062154,9.3646,1.4236,0
0.055334,0.043813,0.0038035,8.9862,1.0379,0
0.065339,0.02182,0.0019364,9.048,1.0898,0
0.082292,0.029799,0.0036773,9.0523,1.1261,0
0.067063,0.028456,0.0021694,9.0256,1.0805,0
0.060637,0.038654,0.0026844,8.9955,1.051,0
0.066463,0.035296,0.0026642,9.0072,1.0685,0
0.047588,0.053845,0.0081128,8.9755,1.0251,0
0.059201,0.058937,0.0072488,8.9715,1.0408,0
0.02833,0.043548,0.013589,8.9817,1.0081,0
0.04217,0.0015443,0.016495,9.0501,1.9261,0
0.02096,0.00044698,0.017379,9.0159,1.9644,0
0.036321,0.0015525,0.017855,8.9819,1.9323,0
0.019294,0.00048058,0.018725,8.9458,1.9643,0
0.067821,0.0025322,0.01407,9.1563,1.8818,0
0.094957,0.0045379,0.01285,9.2019,1.8203,0
0.063634,0.0033346,0.0156,9.0819,1.8833,0
-0.00013604,-0.00013664,0.021816,7.8186,1.9334,0
-1.2775e-05,-1.3626e-05,0.021818,7.7809,1.9691,0
-4.9809e-05,-0.00012885,0.021829,7.7813,1.9048,0
-0.00013213,-5.0171e-05,0.021807,7.8449,1.9686,0
0.032688,0.0017902,0.019221,8.9055,1.9323,0
0.017346,0.00056823,0.019979,8.8756,1.9643,0
0.029256,0.0020071,0.02035,8.8348,1.9318,0
0.015184,0.00060468,0.021004,8.8055,1.9643,0
0.095518,0.037273,0.004773,9.0494,1.1572,0
0.089372,0.0061716,0.0042895,9.2695,1.2095,0
0.08167,0.0086969,0.0039319,9.2156,1.1805,0
0.092194,0.018915,0.0044904,9.1387,1.1852,0
0.096876,0.015737,0.0046848,9.1788,1.2104,0
0.10108,0.034762,0.0051552,9.0693,1.1818,0
0.10621,0.030166,0.0054331,9.1014,1.2104,0
0.11829,0.0081346,0.012315,9.2104,1.7468,0
0.11618,0.0096283,0.0053641,9.2834,1.2903,0
0.13797,0.012543,0.0065335,9.2902,1.3834,0
0.13847,0.012898,0.011233,9.2238,1.6512,0
0.14937,0.014102,0.0092637,9.263,1.5518,0
0.14869,0.012403,0.0076489,9.3001,1.4754,0
0.06685,0.054946,0.0054377,8.978,1.0551,0
0.06746,0.069152,0.0081022,8.9598,1.0531,0
0.081715,0.037326,0.0038447,9.0244,1.1097,0
0.095639,0.043858,0.0052691,9.0268,1.1463,0
0.079684,0.045084,0.0043465,9.0026,1.0931,0
0.07427,0.050904,0.0047419,8.9873,1.0735,0
0.054702,0.068354,0.0099104,8.9593,1.0326,0
0.038814,0.062121,0.013006,8.9648,1.0142,0
0.024623,0.055307,0.017128,8.9678,1.0003,0
0.011163,0.038213,0.026977,8.9793,0.99117,0
0.0026011,0.020351,0.034045,8.9876,0.98111,0
0.063166,0.076486,0.010189,8.9481,1.0448,0
0.056241,0.004846,0.0182,8.9492,1.8802,0
0.05985,0.003993,0.01695,9.016,1.8831,0
0.095323,0.0071108,0.014361,9.1259,1.808,0
0.08531,0.0079866,0.015872,9.0543,1.8211,0
-0.00019497,-0.00033186,0.021803,7.8227,1.8891,0
-4.342e-05,-0.00031216,0.021774,7.7819,1.8392,0
-0.00032871,-0.00017467,0.021836,7.865,1.9319,0
-0.0003141,-4.5252e-05,0.02187,7.9105,1.9678,0
0.049322,0.0050978,0.019464,8.8715,1.8832,0
0.025264,0.0020283,0.021249,8.7654,1.932,0
0.012968,0.00060642,0.021846,8.7355,1.9643,0
0.0452,0.0057644,0.020407,8.8117,1.88,0
0.021253,0.0020276,0.021994,8.6948,1.9321,0
0.010776,0.00059467,0.022494,8.6655,1.9643,0
0.017418,0.0019715,0.022549,8.6215,1.9314,0
0.0086561,0.0005741,0.022944,8.5956,1.9643,0
0.014023,0.0019093,0.022897,8.5531,1.9304,0
0.0066435,0.00053371,0.023213,8.5259,1.9642,0
0.1075,0.048444,0.0062316,9.0293,1.1847,0
0.11082,0.015906,0.0052239,9.2079,1.2569,0
0.11355,0.025467,0.0057693,9.1424,1.2477,0
0.11386,0.043951,0.0066075,9.0535,1.2177,0
0.12096,0.037349,0.0068236,9.0922,1.2595,0
0.12384,0.014129,0.013395,9.1431,1.7048,0
0.13202,0.019193,0.0066741,9.2206,1.3415,0
0.1446,0.018958,0.0080099,9.2352,1.4268,0
0.14278,0.020317,0.011571,9.1743,1.5909,0
0.14811,0.020908,0.0095458,9.2109,1.4974,0
0.10216,0.053953,0.0063717,9.0068,1.1579,0
0.10982,0.059231,0.0074614,8.9996,1.1834,0
0.077798,0.067593,0.0072636,8.964,1.0744,0
0.07485,0.079809,0.0094419,8.9435,1.0664,0
0.094309,0.054991,0.0059248,8.9959,1.1277,0
0.086355,0.062784,0.0064216,8.975,1.0982,0
0.050253,0.076834,0.012733,8.9454,1.0248,0
0.032938,0.070727,0.016353,8.9486,1.0022,0
0.015485,0.052624,0.020471,8.9626,0.98446,0
0.0046505,0.031774,0.024375,8.9764,0.97309,0
0.00081592,0.015099,0.025054,8.9868,0.95956,0
0.063984,0.085315,0.011998,8.9324,1.0451,0
0.07062,0.0097284,0.018443,8.9172,1.8282,0
0.083636,0.010428,0.017142,8.9849,1.8082,0
0.10666,0.014355,0.015368,9.0576,1.747,0
-9.3166e-05,-0.00073723,0.02161,7.8116,1.7534,0
-3.6987e-05,-0.00046345,0.021665,7.7824,1.7726,0
-1.744e-05,-0.00057265,0.021485,7.783,1.7053,0
-0.00013458,-0.00056166,0.02173,7.8124,1.818,0
-0.00031594,-0.00055184,0.02177,7.8595,1.842,0
-0.00056288,-0.0001334,0.021905,7.9295,1.9336,0
-0.00045073,-2.1956e-05,0.02199,7.9771,1.9669,0
-0.00049251,-0.0003644,0.021838,7.8925,1.884,0
-0.00065427,-2.0005e-05,0.022037,7.9954,1.9357,0
-0.00044721,2.9102e-05,0.022186,8.0443,1.9662,0
0.069594,0.01284,0.019341,8.8515,1.8065,0
0.038171,0.0057123,0.021284,8.7347,1.8811,0
0.058125,0.011683,0.020417,8.7866,1.8223,0
0.030932,0.0052397,0.022,8.6636,1.8855,0
0.0072432,0.0013921,0.0231,8.412,1.9326,0
0.0048363,0.00046366,0.023298,8.4564,1.9643,0
0.0032686,0.00039438,0.02325,8.387,1.9643,0
0.010298,0.001625,0.023081,8.4829,1.9323,0
0.024933,0.0049765,0.022472,8.5884,1.8852,0
0.019981,0.00454,0.022762,8.5275,1.8861,0
-2.0026e-05,-0.00081291,0.021426,7.8123,1.6862,0
8.9219e-06,-0.00058502,0.021246,7.7833,1.6375,0
0.11734,0.05852,0.0078559,9.0076,1.218,0
0.13067,0.030051,0.0072265,9.1453,1.3186,0
0.1247,0.051094,0.0082745,9.0387,1.2628,0
0.13148,0.043832,0.0084902,9.0733,1.3112,0
0.12722,0.022372,0.014218,9.0801,1.6537,0
0.144,0.030307,0.0092391,9.1532,1.4164,0
0.14325,0.030012,0.011969,9.1163,1.5318,0
0.10453,0.066588,0.0077271,8.9769,1.1561,0
0.11262,0.067701,0.0085211,8.9775,1.1905,0
0.076701,0.088982,0.011029,8.9252,1.0702,0
0.08736,0.081647,0.009095,8.9407,1.096,0
0.098555,0.07287,0.0082341,8.9603,1.1316,0
0.0030022,0.029254,0.025157,8.973,0.94988,0
0.00056972,0.014404,0.026927,8.9855,0.93499,0
0.0020842,0.026687,0.025661,8.971,0.92503,0
0.00054623,0.013624,0.026548,8.984,0.90699,0
0.050457,0.086865,0.014763,8.9249,1.0212,0
0.036503,0.083568,0.0174,8.9207,0.9954,0
0.020756,0.066486,0.019691,8.9421,0.97801,0
0.0085778,0.045511,0.02312,8.9615,0.9651,0
0.064928,0.094268,0.013665,8.911,1.0454,0
0.088963,0.018145,0.018102,8.9131,1.7544,0
0.11026,0.022033,0.016374,8.994,1.6999,0
-6.1286e-05,-0.00065539,0.021561,7.8687,1.7195,0
-0.00023689,-0.00068419,0.021691,7.8659,1.7852,0
-0.0004621,0.00016439,0.022227,8.0637,1.935,0
-0.00023173,8.7124e-05,0.022415,8.1121,1.9656,0
0.00013187,0.00037098,0.02244,8.1325,1.9342,0
0.00021933,0.00016153,0.02268,8.1803,1.9652,0
-0.0003925,-0.00037695,0.021791,7.9184,1.8255,0
-0.00062324,-0.00013437,0.021928,7.9597,1.8818,0
-0.00032047,0.00036882,0.022071,8.0333,1.8806,0
0.0011241,0.00060264,0.022687,8.2023,1.9345,0
0.00095441,0.00023216,0.022906,8.2489,1.9648,0
0.0047918,0.0011668,0.023043,8.3424,1.9318,0
0.0019571,0.00031666,0.023128,8.3178,1.9645,0
0.0026964,0.00085983,0.022873,8.2722,1.9335,0
0.087788,0.023702,0.018902,8.8564,1.7222,0
0.073196,0.020769,0.020109,8.7875,1.7498,0
0.051118,0.01252,0.021172,8.7115,1.8145,0
0.039802,0.01056,0.021881,8.6381,1.8298,0
0.011053,0.0038057,0.022914,8.3842,1.8801,0
0.015343,0.0042799,0.022876,8.4548,1.8832,0
0.035479,0.011437,0.022148,8.5761,1.8152,0
0.025948,0.0093303,0.022553,8.5012,1.8286,0
7.1992e-05,-0.00071084,0.021176,7.8161,1.6161,0
2.1589e-05,-0.00050398,0.020975,7.783,1.5692,0
0.00019732,-0.00045115,0.021344,7.8644,1.6507,0
0.11789,0.073031,0.0096849,8.9617,1.2181,0
0.1249,0.064636,0.0095429,8.9889,1.2608,0
0.13902,0.043904,0.0098531,9.074,1.3758,0
0.13292,0.05678,0.010221,9.0156,1.3227,0
0.13103,0.035323,0.014527,9.0217,1.5723,0
0.14044,0.042826,0.012167,9.0533,1.4598,0
0.10938,0.078733,0.0096552,8.9468,1.1735,0
0.077132,0.09764,0.012885,8.9015,1.072,0
0.087858,0.094155,0.011424,8.9101,1.0994,0
0.098095,0.087862,0.010284,8.9243,1.1306,0
0.001892,0.025493,0.026258,8.9677,0.89554,0
0.00048504,0.013252,0.027305,8.9822,0.87507,0
0.0062112,0.04257,0.024061,8.9566,0.94152,0
0.0051092,0.040681,0.025097,8.9508,0.91313,0
0.053224,0.096655,0.015906,8.8965,1.0191,0
0.04158,0.092267,0.01804,8.896,0.9944,0
0.028477,0.080471,0.019595,8.9148,0.97465,0
0.014597,0.061027,0.022096,8.9393,0.95755,0
0.069038,0.1028,0.014874,8.8817,1.0516,0
0.10847,0.032161,0.017444,8.9164,1.6497,0
0.0005049,0.00055549,0.02154,7.9278,1.6829,0
-2.4975e-05,-6.9243e-05,0.021711,7.9302,1.7583,0
0.00047517,0.00091863,0.022295,8.1028,1.8823,0
0.0018764,0.0014691,0.02245,8.171,1.886,0
6.7926e-05,0.0006147,0.021908,8.0056,1.8157,0
0.0009137,0.0015124,0.022111,8.0728,1.8329,0
0.0043169,0.0023877,0.022656,8.2406,1.8786,0
0.0072862,0.0030469,0.022767,8.3108,1.8795,0
0.090858,0.033258,0.019293,8.8129,1.6633,0
0.013659,0.0068382,0.022648,8.3522,1.8273,0
0.069437,0.025643,0.020704,8.7222,1.717,0
0.052705,0.019278,0.021572,8.6473,1.7579,0
0.049145,0.022961,0.021828,8.588,1.7241,0
0.022144,0.010338,0.022571,8.4304,1.803,0
0.036897,0.017872,0.022303,8.5178,1.7515,0
0.00091436,0.0011675,0.021278,7.9179,1.6185,0
0.00011445,-0.00044844,0.020898,7.8153,1.5469,0
2.3826e-05,-0.00039183,0.020645,7.7818,1.5005,0
0.00044491,0.00016476,0.021075,7.8683,1.58,0
0.00013156,-0.00015611,0.020554,7.8123,1.4773,0
3.2209e-05,-0.00025049,0.020234,7.7802,1.4313,0
0.12322,0.074789,0.011131,8.9486,1.2609,0
0.11601,0.084118,0.011414,8.9221,1.2168,0
0.12903,0.069437,0.01181,8.9568,1.3157,0
0.13367,0.060262,0.012832,8.9718,1.3925,0
0.1285,0.051095,0.015103,8.9507,1.4957,0
0.10677,0.091834,0.011678,8.9046,1.171,0
0.083495,0.10294,0.013421,8.8795,1.0901,0
0.096137,0.099012,0.012538,8.887,1.1307,0
0.079182,0.10778,0.015246,8.8537,1.0791,0
0.001817,0.025037,0.027031,8.9632,0.86157,0
0.00049577,0.01275,0.027912,8.9802,0.83871,0
0.0044716,0.038615,0.025911,8.9464,0.88433,0
0.012102,0.059256,0.023361,8.9301,0.9321,0
0.010856,0.057627,0.024486,8.9212,0.90508,0
0.060261,0.10388,0.016639,8.8686,1.0287,0
0.050127,0.10014,0.017817,8.8735,1.0048,0
0.037193,0.092031,0.019612,8.8842,0.97667,0
0.023617,0.077732,0.02142,8.9075,0.95419,0
0.069273,0.10857,0.016536,8.8464,1.0493,0
0.1088,0.049605,0.017879,8.8468,1.5525,0
0.0026336,0.0044632,0.021498,8.0019,1.6263,0
0.0017464,0.0026273,0.021739,8.0132,1.7072,0
0.0054165,0.004132,0.022446,8.2102,1.8263,0
0.003496,0.0034096,0.022224,8.1534,1.8123,0
0.0026862,0.0036263,0.022012,8.0853,1.7574,0
0.0096776,0.0061934,0.022508,8.2772,1.8117,0
0.089455,0.044381,0.019804,8.7533,1.5973,0
0.019191,0.012978,0.022469,8.3511,1.7503,0
0.067087,0.035173,0.021152,8.6498,1.6496,0
0.050182,0.030689,0.021898,8.5458,1.6612,0
0.034265,0.022521,0.022299,8.4506,1.6959,0
0.0016756,0.0032974,0.02107,7.9358,1.5442,0
0.0057266,0.009724,0.021482,8.05,1.5653,0
0.0005254,0.00082243,0.020781,7.861,1.504,0
0.00019816,0.0002976,0.020099,7.8105,1.4056,0
4.0713e-05,-7.1109e-05,0.019725,7.7782,1.3642,0
0.00070934,0.0017396,0.020356,7.8566,1.4296,0
0.00024264,0.00082532,0.019519,7.8066,1.3338,0
4.1768e-05,0.00011083,0.019145,7.776,1.3034,0
0.00027219,0.0012856,0.018879,7.8018,1.2716,0
5.1233e-05,0.00027908,0.018488,7.7738,1.2498,0
0.00035174,0.0017451,0.01815,7.797,1.2209,0
7.1781e-05,0.00048813,0.017717,7.7717,1.2027,0
0.00037915,0.0020118,0.017284,7.7888,1.1739,0
9.3382e-05,0.00072647,0.016842,7.7695,1.1613,0
0.00045963,0.0025551,0.016321,7.7844,1.1356,0
0.12058,0.083659,0.012917,8.9032,1.2696,0
0.11218,0.093738,0.013266,8.876,1.218,0
0.12357,0.07753,0.014186,8.8926,1.3377,0
0.12116,0.067008,0.015923,8.8751,1.4295,0
0.10182,0.10157,0.013772,8.8607,1.1645,0
0.1064,0.10032,0.014885,8.8356,1.2087,0
0.090648,0.10684,0.014523,8.8505,1.1189,0
0.079514,0.11148,0.01653,8.8203,1.082,0
0.0017442,0.023634,0.027731,8.96,0.82436,0
0.00048214,0.012175,0.028591,8.978,0.79731,0
